dtype,family,maximum,minimum,missing,mode_fraction,model_utility,name,positive_gain_fold_fraction,status,unique_values,univariate_utility,definition,availability,final_selected,final_reason,correlation_clicks,correlation_carts,correlation_orders,duplicate_of,correlation,redundant_with
float32,source,20998.599609375,0.0,0,0.420549674813672,0.07187165518935827,source_time_score,1.0,retained,265726,0.017739513660379604,time evidence: score,fixed historical cutoff and observed prefix,False,source_family_ablation,0.028959807865548717,0.027362914057840727,0.01105776442745419,,,
float32,source,1717.0,0.0,0,0.420549674813672,0.002599853843746078,source_time_rank,1.0,retained,849,0.015496591984859504,time evidence: rank,fixed historical cutoff and observed prefix,False,source_family_ablation,-0.014721654925832942,0.007052645922286937,0.019847721192650214,,,
float32,source,1.0,0.0,0,0.579450325186328,0.0,source_time_present,0.0,capacity,2,0.009100526146048123,time evidence: present,fixed historical cutoff and observed prefix,False,capacity,0.01893188939851811,0.010034604777399522,0.006994926288294092,,,
float32,source,1.0,0.0,0,0.420549674813672,0.0007545713856210957,source_time_share,1.0,retained,267010,0.011717917287180498,time evidence: share,fixed historical cutoff and observed prefix,False,source_family_ablation,0.054948679910188834,0.013181658378904539,0.003780919637483752,,,
float32,source,21343.37890625,0.0,0,0.420549674813672,0.00017983874305987804,source_cart_score,1.0,retained,273618,0.023305347295043882,cart evidence: score,fixed historical cutoff and observed prefix,False,source_family_ablation,0.01890940412211398,0.041123474793423584,0.01512894074134235,,,
float32,source,2068.0,0.0,0,0.420549674813672,0.001749060485387764,source_cart_rank,1.0,retained,930,0.017736574115882104,cart evidence: rank,fixed historical cutoff and observed prefix,False,source_family_ablation,0.0009868866436616567,0.013944101879578924,0.0224244248127371,,,
float32,source,1.0,0.0,0,0.579450325186328,,source_cart_present,,duplicate,2,0.009100526146048123,cart evidence: present,fixed historical cutoff and observed prefix,False,duplicate,0.01893188939851811,0.010034604777399522,0.006994926288294092,source_time_present,,
float32,source,1.0,0.0,0,0.420549674813672,0.0018588608292549533,source_cart_share,1.0,retained,269560,0.014628883188924162,cart evidence: share,fixed historical cutoff and observed prefix,False,source_family_ablation,0.034703676765590497,0.015366291471601899,0.010914380118140905,,,
float32,source,14138.841796875,0.0,0,0.420549674813672,0.00010069787046293855,source_order_score,1.0,retained,268868,0.0259846946808681,order evidence: score,fixed historical cutoff and observed prefix,False,source_family_ablation,0.01870299326710388,0.040949504984188236,0.019715906431502072,,,
float32,source,2068.0,0.0,0,0.420549674813672,0.00231438279209531,source_order_rank,1.0,retained,995,0.01941007493296391,order evidence: rank,fixed historical cutoff and observed prefix,False,source_family_ablation,0.005790828334714035,0.016477861203302014,0.023146056230836508,,,
float32,source,1.0,0.0,0,0.579450325186328,,source_order_present,,duplicate,2,0.009100526146048123,order evidence: present,fixed historical cutoff and observed prefix,False,duplicate,0.01893188939851811,0.010034604777399522,0.006994926288294092,source_time_present,,
float32,source,1.0,0.0,0,0.420549674813672,0.0009718141675486028,source_order_share,1.0,retained,266093,0.011913835121734434,order evidence: share,fixed historical cutoff and observed prefix,False,source_family_ablation,0.026008943198692708,0.012334882156223567,0.009354126924996823,,,
float32,source,6.8407206535339355,0.0,0,0.953127644631556,0.022743839905875037,source_revisit_score,1.0,retained,1510,0.21600758211941468,revisit evidence: score,fixed historical cutoff and observed prefix,False,source_family_ablation,0.28073988496021535,0.18455985151921556,0.2209427302793808,,,
float32,source,124.0,0.0,0,0.953127644631556,0.00039520734394780206,source_revisit_rank,1.0,retained,71,0.05991046038908821,revisit evidence: rank,fixed historical cutoff and observed prefix,False,source_family_ablation,0.03148127070044408,0.03347612635504099,0.07786582568755251,,,
float32,source,1.0,0.0,0,0.953127644631556,0.0,source_revisit_present,0.0,capacity,2,0.16490384539915456,revisit evidence: present,fixed historical cutoff and observed prefix,False,capacity,0.21542723895162358,0.1348486694266745,0.17151086779331645,,,
float32,source,1.0,0.0,0,0.953127644631556,0.00035062174772312307,source_revisit_share,1.0,retained,5794,0.1812465519410341,revisit evidence: share,fixed historical cutoff and observed prefix,False,source_family_ablation,0.27775063530562644,0.16115057883023728,0.17521052460233377,,,
float32,source,0.6507407426834106,0.0,0,0.5462138117129334,0.004549748589781334,source_popularity_score,1.0,retained,704,0.010764509972460019,popularity evidence: score,fixed historical cutoff and observed prefix,False,source_family_ablation,-0.02109949079629122,-0.010670285594043358,-0.009089125357696482,,,
float32,source,717.0,0.0,0,0.5462138117129334,0.028804374018263645,source_popularity_rank,1.0,retained,717,0.023176210120417172,popularity evidence: rank,fixed historical cutoff and observed prefix,False,source_family_ablation,-0.03481012834734884,-0.02516306642543111,-0.020243795596754925,,,
float32,source,1.0,0.0,0,0.5462138117129334,0.0,source_popularity_present,0.0,capacity,2,0.03814564371276426,popularity evidence: present,fixed historical cutoff and observed prefix,False,capacity,-0.06982065003407661,-0.03871022155727344,-0.03258418707029094,,,
float32,source,1.0,0.0,0,0.5462138117129334,0.002219502553065156,source_popularity_share,1.0,retained,1900,0.009965821484897974,popularity evidence: share,fixed historical cutoff and observed prefix,False,source_family_ablation,-0.020903369070059515,-0.009673719493228445,-0.008288947883205815,,,
float32,source,5.0,1.0,0,0.503084552336225,0.00013725785745438132,source_count,1.0,retained,5,0.02699301641689164,source count,fixed historical cutoff and observed prefix,False,source_family_ablation,0.03570410444560878,0.022162807524702177,0.027956272858200182,,,
float32,source,399.0,1.0,0,0.04598716374877678,0.01727023212540617,source_rank_best,1.0,retained,399,0.03675534519157176,source rank best,fixed historical cutoff and observed prefix,False,source_family_ablation,-0.06938271673533292,-0.03426485676899792,-0.03256269414556516,,,
float32,source,1453.0,1.0,0,0.017390610743308048,0.005667014729729099,source_rank_mean,1.0,retained,3414,0.025157296771369173,source rank mean,fixed historical cutoff and observed prefix,False,source_family_ablation,-0.05868424460422234,-0.026823350475675477,-0.01873644528040716,,,
float32,source,843.2988891601562,0.0,0,0.4416931089291516,0.0033827885532626105,source_rank_std,1.0,retained,32516,0.01822727608003549,source rank std,fixed historical cutoff and observed prefix,False,source_family_ablation,0.021543354502861798,0.010753065096392485,0.021411701834719275,,,
float32,source,1.0,5.4157139857125e-06,0,0.04646769634231041,0.0036485158646436732,source_score_max,1.0,retained,254927,0.08860831728331485,source score max,fixed historical cutoff and observed prefix,False,source_family_ablation,0.16371344877827698,0.0829708175618165,0.07890954522823701,,,
float32,source,0.8239980936050415,2.1632213247357868e-06,0,0.012711740753638527,0.006247492013970304,source_score_mean,1.0,retained,277487,0.058951819843818976,source score mean,fixed historical cutoff and observed prefix,False,source_family_ablation,0.11042785525986162,0.05479510158653611,0.0524508397364533,,,
float32,source,0.4898979663848877,2.0671484435297316e-06,0,0.012715631705812889,0.0010472439978871967,source_score_std,1.0,retained,277845,0.08239170532849702,source score std,fixed historical cutoff and observed prefix,False,source_family_ablation,0.15622457043487428,0.07853657623578837,0.07201379235712181,,,
float32,source,1.0,0.0,0,0.420549674813672,0.0002500747945962316,source_time_cart_product,1.0,capacity,275520,0.016840664120587944,product of query-normalized time/cart evidence,fixed historical cutoff and observed prefix,False,capacity,0.053779331607884805,0.01818822282747773,0.010010440185926908,,,
float32,source,0.9666656255722046,-0.9627139568328857,0,0.4320377111084739,0.0015329998631093483,source_time_cart_difference,1.0,retained,271688,0.008629269007578894,difference of query-normalized time/cart evidence,fixed historical cutoff and observed prefix,False,source_family_ablation,0.028278939664953612,-0.0019871875185163267,-0.008675364642547726,,,
float32,source,23.076374053955078,0.0,0,0.420549674813672,0.0007348037222182491,source_time_cart_ratio,1.0,capacity,275010,0.0053017089142651476,ratio of query-normalized time/cart evidence,fixed historical cutoff and observed prefix,False,capacity,0.017887642645385768,0.0021345795508870675,-0.0047876179741007515,,,
float32,source,1.0,0.0,0,0.420549674813672,0.00038360979242348743,source_time_order_product,1.0,capacity,272950,0.01679075322010733,product of query-normalized time/order evidence,fixed historical cutoff and observed prefix,False,capacity,0.05122843041486666,0.01822763357149593,0.010332700178619812,,,
float32,source,0.9874292612075806,-0.9862340688705444,0,0.4306077861843961,0.000742244459191231,source_time_order_difference,1.0,retained,269824,0.007487987246844983,difference of query-normalized time/order evidence,fixed historical cutoff and observed prefix,False,source_family_ablation,0.03402555876059642,0.0013213385313712706,-0.0061483830189566,,,
float32,source,44.443031311035156,0.0,0,0.420549674813672,0.004721321203007915,source_time_order_ratio,1.0,retained,272421,0.0051832435711160925,ratio of query-normalized time/order evidence,fixed historical cutoff and observed prefix,False,source_family_ablation,0.016039811646105004,0.0008109022045640932,-0.005559986241893941,,,
float32,source,1.0,0.0,0,0.420549674813672,0.00046831640359588087,source_cart_order_product,1.0,capacity,272246,0.016207789120913797,product of query-normalized cart/order evidence,fixed historical cutoff and observed prefix,False,capacity,0.03528221457223085,0.017504664259084923,0.012380280643275392,,,
float32,source,0.7374036312103271,-0.7935106754302979,0,0.4412320310964898,0.0014034420867023764,source_cart_order_difference,1.0,retained,267153,0.006799180261871621,difference of query-normalized cart/order evidence,fixed historical cutoff and observed prefix,False,source_family_ablation,0.022409740575001055,0.00764207265152925,0.0037759740148545673,,,
float32,source,4.911792755126953,0.0,0,0.420549674813672,0.0005720910708206908,source_cart_order_ratio,1.0,capacity,269033,0.007294411558163619,ratio of query-normalized cart/order evidence,fixed historical cutoff and observed prefix,False,capacity,0.028820026334580928,0.008750676999487629,0.0029786763747653958,,,
float32,context,205.0,1.0,0,0.4556518998546729,0.030120008067610907,query_events,1.0,retained,76,0.06228729383019817,query events,observed prefix,True,selected,6.119195084773733e-06,0.04999466546324425,0.07881380378619403,,,
float32,context,138.0,1.0,0,0.5226949512950062,0.0011089843264894949,query_unique,1.0,retained,54,0.057592280647562714,query unique,observed prefix,True,selected,-0.0014357613705935882,0.03877376581787744,0.0763609579419002,,,
float32,context,71.03121185302734,0.0,0,0.4556518998546729,0.03907532000316286,query_duration_hours,1.0,retained,4571,0.005517735602892375,query duration hours,observed prefix,True,selected,0.0020325294037267993,0.004382527840471699,0.006666207183963643,,,
float32,context,0.9285714030265808,0.0,0,0.6864845830747471,0.03414545414731489,query_repeat_share,1.0,retained,224,0.03772238493991577,query repeat share,observed prefix,True,selected,0.004336029699599622,0.03453676475714959,0.04487958757135155,,,
float32,context,0.9999998211860657,-1.0,0,0.0002354026065488616,0.26783706927204565,query_hour_sin,1.0,retained,8446,0.000672339105163177,query hour sin,observed prefix,True,selected,-0.001210994672558131,0.0005327336365517565,-0.0006523659115697284,,,
float32,context,0.9999998807907104,-1.0,0,0.0002373480826360423,0.038797890538958206,query_hour_cos,1.0,retained,8445,0.0010192824439829748,query hour cos,observed prefix,True,selected,-0.0016258419060065634,-0.001172782026212372,-0.0008414394091976779,,,
float32,context,1.0,-0.8261812329292297,0,0.00023929355872322295,0.0093265836391863,query_weekday_sin,1.0,retained,8431,0.0018623767484134955,query weekday sin,observed prefix,True,selected,0.0003657517238475067,0.0009382323279843731,-0.0025738864627223882,,,
float32,context,1.0,-0.1473003625869751,0,0.0002373480826360423,0.039479332787250444,query_weekday_cos,1.0,retained,8446,0.0040141998525802984,query weekday cos,observed prefix,True,selected,8.613327189226818e-05,0.0006705576702320483,0.006340698707202428,,,
float32,context,59.136192321777344,0.0,0,0.4556518998546729,0.0035188126530583197,query_gap_mean,1.0,retained,4577,0.003255400793525857,query gap mean,observed prefix,True,selected,0.0017273111034473547,-0.0024842367057403875,-0.003895664452431675,,,
float32,context,35.51369094848633,0.0,0,0.6272623455048802,0.0018928824763313975,query_gap_std,1.0,retained,3135,0.0020168670516404184,query gap std,observed prefix,True,selected,0.001925657256050158,0.0019460886226975737,0.0020674578987102178,,,
float32,context,71.029296875,0.0,0,0.4556518998546729,0.009172889534304354,query_gap_max,1.0,retained,4569,0.004192684192350785,query gap max,observed prefix,True,selected,0.00201508416117405,0.0031293096321285073,0.005087304810991379,,,
float32,context,59.136192321777344,0.0,0,0.4556518998546729,0.00871026201147108,query_gap_median,1.0,retained,4531,0.003712409038934214,query gap median,observed prefix,True,selected,0.0014240980468022428,-0.003183719248738328,-0.004358139099387486,,,
float32,context,205.0,1.0,0,0.4556518998546729,,query_all_count,,duplicate,76,0.06228729383019817,Observed all: count,observed prefix,False,duplicate,6.119195084773733e-06,0.04999466546324425,0.07881380378619403,query_events,,
float32,context,1.0,1.0,0,1.0,,query_all_share,,constant,1,0.0,Observed all: share,observed prefix,False,constant,0.0,0.0,0.0,,,
float32,context,0.0,0.0,0,1.0,,query_all_last_age_hours,,constant,1,0.0,Observed all: last_age_hours,observed prefix,False,constant,0.0,0.0,0.0,,,
float32,history,88912.0,0.0,0,0.002593319624211839,0.0009849416317488638,hist_all_all,1.0,retained,6550,0.02299926496341642,Historical all count over all,fixed historical cutoff and observed prefix,True,selected,-0.03905037389701528,-0.021549329719489377,-0.02104904776311347,,,
float32,history,275.0,0.0,0,0.22726468007618483,0.0014551348503919882,hist_all_h1,1.0,retained,118,0.024087664514934423,Historical all count over h1,fixed historical cutoff and observed prefix,True,selected,-0.03892205181070732,-0.023167007636867562,-0.022075595071339042,,,
float32,history,0.75,0.0,0,0.22726468007618483,0.0009849863654924976,hist_all_h1_share,1.0,retained,13652,0.004251528610864267,Share of historical all activity in last 1 hours,fixed historical cutoff and observed prefix,True,selected,-0.0011166381006395079,-0.0004891205119419032,-0.006655214412029576,,,
float32,history,2109.0,0.0,0,0.0830621015421789,0.00023213303404120403,hist_all_h6,1.0,redundant,491,0.025562195812626025,Historical all count over h6,fixed historical cutoff and observed prefix,False,redundant,-0.04183754676790604,-0.02500131282064729,-0.023130078816068725,,0.997383777452524,hist_clicks_h6
float32,history,0.9516907930374146,0.0,0,0.0830621015421789,0.0005918777530589067,hist_all_h6_share,1.0,capacity,25766,0.003639005309988251,Share of historical all activity in last 6 hours,fixed historical cutoff and observed prefix,False,capacity,-0.002872744878010857,-0.0055080349530556355,-0.0028322005604507912,,,
float32,history,4390.0,0.0,0,0.05414649045841253,0.0001259985787370318,hist_all_h12,1.0,capacity,799,0.02560143227600824,Historical all count over h12,fixed historical cutoff and observed prefix,False,capacity,-0.0419806148628985,-0.02510364382213784,-0.023120462738461734,,,
float32,history,0.95652174949646,0.0,0,0.05414649045841253,0.0014402256583184196,hist_all_h12_share,1.0,retained,30795,0.004063713218169875,Share of historical all activity in last 12 hours,fixed historical cutoff and observed prefix,True,selected,-0.004792808132740941,-0.00676428298110154,-0.0025919125176088647,,,
float32,history,12085.0,0.0,0,0.04087445259166597,0.00026456784305363667,hist_all_h24,1.0,capacity,976,0.021690671215151808,Historical all count over h24,fixed historical cutoff and observed prefix,False,capacity,-0.03610319767776278,-0.02129692051902024,-0.019485458819449096,,,
float32,history,0.9955357313156128,0.0,0,0.04087445259166597,0.0009110101858874705,hist_all_h24_share,1.0,retained,33705,0.006294685500345967,Share of historical all activity in last 24 hours,fixed historical cutoff and observed prefix,True,selected,-0.009567786894209116,-0.00829626776301437,-0.0047483774700345744,,,
float32,history,25833.0,0.0,0,0.016081305336635456,0.00032279851782690886,hist_all_h72,1.0,capacity,1955,0.025709791437603557,Historical all count over h72,fixed historical cutoff and observed prefix,False,capacity,-0.04288817468851596,-0.02506128681896689,-0.023170979871769824,,,
float32,history,0.9983193278312683,0.0,0,0.016081305336635456,0.001385120655985192,hist_all_h72_share,1.0,retained,43300,0.006307977573007148,Share of historical all activity in last 72 hours,fixed historical cutoff and observed prefix,True,selected,-0.008323566617491548,-0.010145164961143052,-0.004053452371525129,,,
float32,history,41719.0,0.0,0,0.004597159994007933,0.0004060275308712259,hist_all_h168,1.0,redundant,3541,0.02494601057540288,Historical all count over h168,fixed historical cutoff and observed prefix,False,redundant,-0.04183914578601174,-0.02453624910231696,-0.022335368776844364,,0.9971918567677458,hist_clicks_h168
float32,history,0.9993320107460022,0.0,0,0.004778089270115736,0.0016109904378542445,hist_all_h168_share,1.0,retained,49808,0.005163937316426951,Share of historical all activity in last 168 hours,fixed historical cutoff and observed prefix,True,selected,-0.008894676136775552,-0.011947257361280854,-0.001150487490608567,,,
float32,history,62958.0,0.0,0,0.0026439020024785365,0.00854440129164395,hist_all_h336,1.0,retained,5294,0.023867710229811406,Historical all count over h336,fixed historical cutoff and observed prefix,True,selected,-0.04031196945396672,-0.023435570792189487,-0.021343070077929818,,,
float32,history,0.9999604821205139,0.0,0,0.0037936783700023152,0.007472848177895053,hist_all_h336_share,1.0,retained,47531,0.01209694777597879,Share of historical all activity in last 336 hours,fixed historical cutoff and observed prefix,True,selected,-0.023263346316830257,-0.025731682803766667,-0.0034185138386096086,,,
float32,history,5.538461685180664,0.0,0,0.22726468007618483,0.0012415515064072358,hist_all_trend_h1_h6,1.0,retained,2066,0.009816812167379597,Per-hour all rate over 1h divided by 6h rate,fixed historical cutoff and observed prefix,True,selected,-0.007927342260711016,-0.008862923625570118,-0.010608668089395767,,,
float32,history,3.95979905128479,0.0,0,0.0830621015421789,0.0014518138865985213,hist_all_trend_h6_h24,1.0,retained,5757,0.008128355069393184,Per-hour all rate over 6h divided by 24h rate,fixed historical cutoff and observed prefix,True,selected,-0.009028096739353522,-0.010393533785566069,-0.006845808766313353,,,
float32,history,2.993288516998291,0.0,0,0.04087445259166597,0.0018222117249835955,hist_all_trend_h24_h72,1.0,retained,12849,0.007888353381523267,Per-hour all rate over 24h divided by 72h rate,fixed historical cutoff and observed prefix,True,selected,-0.011289088895279261,-0.012132030520028222,-0.005199725559978125,,,
float32,history,2.330874443054199,0.0,0,0.016081305336635456,0.0009689519578120558,hist_all_trend_h72_h168,1.0,retained,27967,0.008798890647179293,Per-hour all rate over 72h divided by 168h rate,fixed historical cutoff and observed prefix,True,selected,-0.011962107919347561,-0.014122657888633885,-0.005609804147757284,,,
float32,history,1.9986640214920044,0.0,0,0.007330553896496781,0.0019276444296154828,hist_all_trend_h168_h336,1.0,retained,41367,0.006191939700168173,Per-hour all rate over 168h divided by 336h rate,fixed historical cutoff and observed prefix,True,selected,-0.010549604886345855,-0.014555346157193718,-0.0012839589406257864,,,
float32,repeat,1.0,0.0,0,0.9835646180154977,0.0014112911273180728,repeat_all_n1_count,1.0,retained,2,0.14581372004605975,Candidate all recurrence within last 1 observed events: count,observed prefix,True,selected,0.26848233976109964,0.16839672029348118,0.11407744996984238,,,
float32,repeat,1.0,0.0,0,0.9835646180154977,,repeat_all_n1_share,,duplicate,2,0.14581372004605975,Candidate all recurrence within last 1 observed events: share,observed prefix,False,duplicate,0.26848233976109964,0.16839672029348118,0.11407744996984238,repeat_all_n1_count,,
float32,repeat,1.0,-1.0,0,0.9835646180154977,0.00015544525762435356,repeat_all_n1_last_position,1.0,redundant,2,0.14581372004605975,Candidate all recurrence within last 1 observed events: last_position,observed prefix,False,redundant,0.26848233976109964,0.16839672029348118,0.11407744996984238,,1.0000000000001923,repeat_all_n1_count
float32,repeat,1.0,-1.0,0,0.9835646180154977,,repeat_all_n1_first_position,,duplicate,2,0.14581372004605975,Candidate all recurrence within last 1 observed events: first_position,observed prefix,False,duplicate,0.26848233976109964,0.16839672029348118,0.11407744996984238,repeat_all_n1_last_position,,
float32,repeat,0.0,0.0,0,1.0,,repeat_all_n1_span,,constant,1,0.0,Candidate all recurrence within last 1 observed events: span,observed prefix,False,constant,0.0,0.0,0.0,,,
float32,repeat,0.0,-1.0,0,0.9835646180154977,0.0009785023371883745,repeat_all_n1_age_hours,0.6666666666666666,redundant,2,0.14581372004605975,Candidate all recurrence within last 1 observed events: age_hours,observed prefix,False,redundant,0.26848233976109964,0.16839672029348118,0.11407744996984238,,1.0000000000001923,repeat_all_n1_count
float32,repeat,3.0,0.0,0,0.9727399890664243,0.00015730153723673157,repeat_all_n3_count,1.0,capacity,4,0.18496311283177008,Candidate all recurrence within last 3 observed events: count,observed prefix,False,capacity,0.28818627726535934,0.17149259553517904,0.17449451074113406,,,
float32,repeat,1.0,0.0,0,0.9727399890664243,0.0007009651133070057,repeat_all_n3_share,1.0,capacity,5,0.1502334901762105,Candidate all recurrence within last 3 observed events: share,observed prefix,False,capacity,0.3096798350784471,0.1516290515105713,0.12296131869199066,,,
float32,repeat,3.0,-1.0,0,0.9727399890664243,0.0004841675162246163,repeat_all_n3_last_position,0.6666666666666666,capacity,4,0.13153801306224994,Candidate all recurrence within last 3 observed events: last_position,observed prefix,False,capacity,0.23384046759172228,0.12335038285329168,0.11858141907848366,,,
float32,repeat,3.0,-1.0,0,0.9727399890664243,2.588864944542337e-05,repeat_all_n3_first_position,1.0,capacity,4,0.15172058096648144,Candidate all recurrence within last 3 observed events: first_position,observed prefix,False,capacity,0.2487295177628948,0.13831109360947963,0.1422571685122468,,,
float32,repeat,2.0,0.0,0,0.9964533970930697,0.00011901696770701108,repeat_all_n3_span,1.0,capacity,3,0.15447244137020114,Candidate all recurrence within last 3 observed events: span,observed prefix,False,capacity,0.16321713448516498,0.12381204164716253,0.1683451923792265,,,
float32,repeat,71.03121185302734,-1.0,0,0.9727399890664243,0.00013094055956485245,repeat_all_n3_age_hours,1.0,capacity,5464,0.04230567795080244,Candidate all recurrence within last 3 observed events: age_hours,observed prefix,False,capacity,0.07995728178657195,0.04311888850009348,0.035623805370195334,,,
float32,repeat,5.0,0.0,0,0.9676661874310571,0.0010067820149249026,repeat_all_n5_count,1.0,retained,6,0.19256136559436532,Candidate all recurrence within last 5 observed events: count,observed prefix,True,selected,0.2708366652183294,0.16630149408628137,0.19264541807774663,,,
float32,repeat,1.0,0.0,0,0.9676661874310571,0.024695083969775357,repeat_all_n5_share,1.0,retained,11,0.1472970456819417,Candidate all recurrence within last 5 observed events: share,observed prefix,True,selected,0.30965887277359294,0.14635356012025783,0.12070848394750845,,,
float32,repeat,5.0,-1.0,0,0.9676661874310571,4.880597689992839e-05,repeat_all_n5_last_position,1.0,capacity,6,0.12252390366125628,Candidate all recurrence within last 5 observed events: last_position,observed prefix,False,capacity,0.18249571536274578,0.10303266734012846,0.12227421987157193,,,
float32,repeat,5.0,-1.0,0,0.9676661874310571,7.737477491976432e-05,repeat_all_n5_first_position,1.0,capacity,6,0.1469699980102339,Candidate all recurrence within last 5 observed events: first_position,observed prefix,False,capacity,0.2038072282166953,0.12041907431610395,0.15077258815622196,,,
float32,repeat,4.0,0.0,0,0.9948328155124482,0.0002322662085270972,repeat_all_n5_span,1.0,capacity,5,0.1511214497062256,Candidate all recurrence within last 5 observed events: span,observed prefix,False,capacity,0.1601473802010326,0.1134439039239905,0.16845590084820863,,,
float32,repeat,71.03121185302734,-1.0,0,0.9676661874310571,0.000311500687112116,repeat_all_n5_age_hours,1.0,capacity,8032,0.03541837196046952,Candidate all recurrence within last 5 observed events: age_hours,observed prefix,False,capacity,0.061553561498305355,0.033419591957570216,0.03206189703894653,,,
float32,repeat,10.0,0.0,0,0.9613492265759815,8.826005845754786e-05,repeat_all_n10_count,1.0,capacity,11,0.2019317989460648,Candidate all recurrence within last 10 observed events: count,observed prefix,False,capacity,0.24442415334233872,0.162322971908177,0.2146541533989631,,,
float32,repeat,1.0,0.0,0,0.9613492265759815,0.00036807169128237735,repeat_all_n10_share,1.0,redundant,33,0.14574199508584035,Candidate all recurrence within last 10 observed events: share,observed prefix,False,redundant,0.3085671223950102,0.14379028748124176,0.11958032766994464,,0.9974371520570202,repeat_all_n20_share
float32,repeat,10.0,-1.0,0,0.9613492265759815,9.884803692634664e-05,repeat_all_n10_last_position,1.0,capacity,11,0.1131607545454905,Candidate all recurrence within last 10 observed events: last_position,observed prefix,False,capacity,0.11909891810076015,0.08141726965862815,0.12804280306304341,,,
float32,repeat,10.0,-1.0,0,0.9613492265759815,8.119713540558368e-05,repeat_all_n10_first_position,1.0,capacity,11,0.14086603848461637,Candidate all recurrence within last 10 observed events: first_position,observed prefix,False,capacity,0.14316151926084766,0.10193584320556152,0.15994855599477192,,,
float32,repeat,9.0,0.0,0,0.9928990122817906,4.994122749845627e-05,repeat_all_n10_span,1.0,capacity,10,0.144148726592648,Candidate all recurrence within last 10 observed events: span,observed prefix,False,capacity,0.13272360537880737,0.10589259274202828,0.1651809803869313,,,
float32,repeat,71.03121185302734,-1.0,0,0.9613492265759815,0.0007077000109006466,repeat_all_n10_age_hours,1.0,capacity,11249,0.03053690310004186,Candidate all recurrence within last 10 observed events: age_hours,observed prefix,False,capacity,0.04388406932780533,0.02626762011459177,0.030447016888139666,,,
float32,repeat,17.0,0.0,0,0.9566042103993478,1.753149765433093e-05,repeat_all_n20_count,1.0,capacity,17,0.20649163153538858,Candidate all recurrence within last 20 observed events: count,observed prefix,False,capacity,0.22335290239791034,0.1577627043536822,0.22804588331582146,,,
float32,repeat,1.0,0.0,0,0.9566042103993478,0.0010246020490984095,repeat_all_n20_share,1.0,retained,90,0.14493985130226056,Candidate all recurrence within last 20 observed events: share,observed prefix,True,selected,0.30794492108879257,0.14284169191932378,0.11882141936264026,,,
float32,repeat,20.0,-1.0,0,0.9566042103993478,0.00033650446759170505,repeat_all_n20_last_position,1.0,capacity,21,0.09777618029580673,Candidate all recurrence within last 20 observed events: last_position,observed prefix,False,capacity,0.07672210613997785,0.059724820327227084,0.12031087263940138,,,
float32,repeat,20.0,-1.0,0,0.9566042103993478,3.632724228814718e-05,repeat_all_n20_first_position,1.0,capacity,21,0.12703388309698568,Candidate all recurrence within last 20 observed events: first_position,observed prefix,False,capacity,0.0979284152813544,0.08157687469929291,0.15461329859843728,,,
float32,repeat,19.0,0.0,0,0.991385431885964,0.00010833639643297992,repeat_all_n20_span,1.0,capacity,20,0.13947672582693357,Candidate all recurrence within last 20 observed events: span,observed prefix,False,capacity,0.10312558542659361,0.09955588896202214,0.16549566765944596,,,
float32,repeat,71.03121185302734,-1.0,0,0.9566042103993478,0.0014863831142984672,repeat_all_n20_age_hours,1.0,retained,13676,0.03035083134355923,Candidate all recurrence within last 20 observed events: age_hours,observed prefix,True,selected,0.03710051858646064,0.024080887975359618,0.032360855153842134,,,
float32,repeat,23.0,0.0,0,0.9534330843772434,2.5094846177402203e-05,repeat_all_n50_count,1.0,retained,20,0.20743154650164955,Candidate all recurrence within last 50 observed events: count,observed prefix,True,selected,0.20696360000124386,0.15145553680820517,0.23549754243177268,,,
float32,repeat,1.0,0.0,0,0.9534330843772434,0.000678071742065095,repeat_all_n50_share,1.0,redundant,221,0.14444386112518157,Candidate all recurrence within last 50 observed events: share,observed prefix,False,redundant,0.3076444965669213,0.14213359959535793,0.11839888598313676,,0.9991790699977614,repeat_all_n20_share
float32,repeat,50.0,-1.0,0,0.9534330843772434,0.00014379912828226525,repeat_all_n50_last_position,1.0,retained,51,0.08181494686254677,Candidate all recurrence within last 50 observed events: last_position,observed prefix,True,selected,0.04489240106323904,0.040797194221471225,0.1084775808163025,,,
float32,repeat,50.0,-1.0,0,0.9534330843772434,4.651464395085661e-05,repeat_all_n50_first_position,1.0,capacity,51,0.10656908772991013,Candidate all recurrence within last 50 observed events: first_position,observed prefix,False,capacity,0.06022168882421237,0.057843947368548816,0.13865622439487374,,,
float32,repeat,47.0,0.0,0,0.9902298190901786,0.00020269459972786422,repeat_all_n50_span,1.0,capacity,45,0.11329076112274247,Candidate all recurrence within last 50 observed events: span,observed prefix,False,capacity,0.06814410973948948,0.07259756291667517,0.14116180212298496,,,
float32,repeat,71.03121185302734,-1.0,0,0.9534330843772434,0.00024971248511935227,repeat_all_n50_age_hours,1.0,retained,15302,0.027694934123482257,Candidate all recurrence within last 50 observed events: age_hours,observed prefix,True,selected,0.029435766378150468,0.020841660676034005,0.030831432138095017,,,
float32,repeat,13.710511207580566,0.0,0,0.953127644631556,0.001052329935122291,repeat_all_h1_decay,1.0,retained,17181,0.21442176252677872,Sum of exponential candidate all weights with 1h time constant,observed prefix,True,selected,0.22876510886517368,0.1614275934924586,0.23852828932087294,,,
